#filter pvtwavelength(um) flux(uJy) error(uJy)
CFHT_u 0.37994 0.18241173 0.0205080863
CFHT_g 0.48464 0.283118993 0.020263372
CFHT_r 0.62453 0.557264566 0.0280274283
CFHT_i 0.75428 1.05027556 0.042405311
ACS_F814W 0.80455 1.25335452 0.0504692399
WFC3_F125W 1.2486 4.616659 0.0548510044
WIRCAM_J 1.2519 5.19190025 0.154020861
WIRCAM_K 2.1434 12.4101028 0.172409669
IRAC_CH1 3.5378 22.3764858 0.148410589
IRAC_CH2 4.478 28.0850983 0.157385543
IRAC_CH3 5.696 22.0462952 1.50480461
IRAC_CH4 7.7978 20.2428417 1.20057249
MIPS24 23.593 246.9 9.6294
PACS_100 100.8 13758.419921875 4953.669921875
PACS_160 161.89 34688.609375 5737.74609375
SPIRE_250 248.29 8743.2802734375 6232.9296875
SPIRE_350 348.44 9397.4375 6740.6396484375
SPIRE_500 500.38 8096.12744140625 5470.02294921875
